cse_id	priority	domain	keyword	cse_sentence
cse033	주변	주거와생활	날씨	밖에 덥기는 하지만 바람이 많이 분다고 한다.
cse034	주변	주거와생활	날씨	태풍이 지나가고 난 뒤 피해 상황에 대해 이야기한다.
cse035	주변	주거와생활	날씨	날씨가 풀렸는지 오늘은 시원한 봄 날씨이다.
cse036	주변	주거와생활	날씨	요즘 날씨가 엄청 춥고 눈도 오는 한파이다.
cse037	주변	주거와생활	날씨	작년이나 재작년과 달리 올해는 날씨가 덥다.
cse038	주변	주거와생활	날씨	밖에 날씨도 좋고 구름도 이쁘다.
cse039	주변	주거와생활	날씨	지금 번개와 천둥을 동반한 비가 오고 있다.
cse040	주변	주거와생활	날씨	3시에 비 오기 전에 일찍 가자고 하였다.
cse041	주변	여가생활	게임	게임 내의 클럽을 보유한 지인에게 가입 의사를 밝혔다.
cse042	주변	여가생활	게임	오늘 것은 내 취향이 아닌 것 같은데 기본 카드게임에 스토리가 있는 것 같다.
cse043	주변	여가생활	게임	멋진 남자들이랑 탁구공 넣기 게임을 하고 싶다고 했다.
cse044	주변	여가생활	게임	배추에 맞았지만 게임상의 일이라서 화를 안 냈다.
cse045	주변	여가생활	게임	방 탈출 게임인 크라임 신을 하고 싶어 하는 이야기를 하고 있다.
cse046	주변	여가생활	게임	게임 기록을 향상시키기 위한 방법을 알려주고있다.
cse047	주변	여가생활	게임	게임을 하다가 말다가 해서 실력이 늘지 않는다고 하고 있다.
cse048	주변	여가생활	게임	추천한 게임이 회사에서 이미 유행 중이라고 한다.
cse049	주변	여가생활	게임	생일선물(생선)을 서로 하지 않기로 했지만 궁금한 게임이 있어 사주면 대신 플레이(play)를 해줄 수 있는지 묻고 있다.
cse050	주변	여가생활	게임	게임을 했는데 한번은 상대방이 안와서 이겼고 첫판은 인원이 모자라서 기권패했다.
cse051	주변	미용과건강	다이어트	다이어트(다요트) 식단으로 고구마, 계란, 바나나를 먹고 있으며, 목표 체중은 48이다.
cse052	주변	미용과건강	다이어트	다이어트 식품인 비움과 노니를 먹는 방법에 대해 설명한다.
cse053	주변	미용과건강	다이어트	다이어트의 1차 목표는 55킬로그램(55 kg)이다.
cse054	주변	미용과건강	다이어트	다이어트를 하면 성격이 더러워져서 폭식을 하게 된다.
cse055	주변	미용과건강	다이어트	다이어트를 하는데 오늘 유독 배가 고파서 힘들다.
cse056	주변	미용과건강	다이어트	이제 만나면 저녁은 다이어트 식단으로 먹어야 한다.
cse057	주변	미용과건강	다이어트	줄넘기를 하면서 다이어트를 하면 효과는 좋지만 무릎에 무리가 가니 무릎 보호대를 해야 한다.
cse058	주변	미용과건강	다이어트	다이어트 프로그램에 나오는 사람들이 결국에는 요요가 와서 어릴 때부터 잘 관리하는 게 중요한 것 같다.
cse059	주변	미용과건강	다이어트	다이어트 2일차인데 작심삼일이 아니고 이번에는 진짜이다.
cse060	주변	미용과건강	다이어트	디톡스 부작용으로 먹는 얘기만 하게 되고 굶는 다이어트는 안 좋으니까 몸에 독소랑 함께 하기로 결심했다.
