subject_id	gender	age	trial	cse_id	priority	domain	keyword	response	y	cse_sentence	note
s01f2	여	20대	13	cse003	필수	식음료	밥	X	0	밥은 그날 먹고 싶은 걸로 시키는데 오늘은 순두부찌개를 시켰다.	
s01f2	여	20대	14	cse033	주변	주거와생활	날씨	O	1	밖에 덥기는 하지만 바람이 많이 분다고 한다.	
s01f2	여	20대	15	cse046	주변	여가생활	게임	O	1	게임 기록을 향상시키기 위한 방법을 알려주고있다.	
s01f2	여	20대	16	cse053	주변	미용과건강	다이어트	X	0	다이어트의 1차 목표는 55킬로그램(55 kg)이다.	
s01f2	여	20대	17	cse013	필수	주거와생활	집	O	1	집 근처에 공원은 많은데 철봉이 없어서 아쉽다.	
s01f2	여	20대	18	cse023	필수	상거래	옷	O	1	오늘도 H&M(흐앤므)에서 예쁘고 귀여운 옷을 샀다고하니 그만 사라고 한다.	
s01f2	여	20대	19	cse025	필수	상거래	옷	X	0	구입할 옷의 색상을 보여 주고 고르고 있다.	
s01f2	여	20대	20	cse014	필수	주거와생활	집	O	1	집에 문 두드린 사람이 집주인인지를 알아보고 있다.	
s01f2	여	20대	21	cse044	주변	여가생활	게임	O	1	배추에 맞았지만 게임상의 일이라서 화를 안 냈다.	
s01f2	여	20대	22	cse004	필수	식음료	밥	X	0	언니가 대구로 출장을 가서 혼자 밥을 먹어야(혼밥) 해야 해서 추천해 주려고 한다.	
s01f2	여	20대	23	cse015	필수	주거와생활	집	O	1	어차피 일 년 살 집이라 집들이는 안 할 거고, 대화 상대자가 오면 앉을 식탁과 의자를 사려 한다.	
s01f2	여	20대	24	cse054	주변	미용과건강	다이어트	X	0	다이어트를 하면 성격이 더러워져서 폭식을 하게 된다.	
s01f2	여	20대	25	cse043	주변	여가생활	게임	X	0	멋진 남자들이랑 탁구공 넣기 게임을 하고 싶다고 했다.	
s01f2	여	20대	26	cse035	주변	주거와생활	날씨	O	1	날씨가 풀렸는지 오늘은 시원한 봄 날씨이다.	
s01f2	여	20대	27	cse055	주변	미용과건강	다이어트	O	1	다이어트를 하는데 오늘 유독 배가 고파서 힘들다.	
s01f2	여	20대	28	cse026	필수	상거래	옷	O	1	주문한 옷이 집 앞에 택배로 와 있어야 하는데 없어서 전화해보려고 한다.	
s01f2	여	20대	29	cse005	필수	식음료	밥	X	0	엄마에게 김밥이 상하는지에 대해서 물어본다.	
s01f2	여	20대	30	cse016	필수	주거와생활	집	X	0	나중에 넓은 집으로 이사가면 가짜 나무로 만든 트리를 만들고 싶다.	
s01f2	여	20대	31	cse056	주변	미용과건강	다이어트	X	0	이제 만나면 저녁은 다이어트 식단으로 먹어야 한다.	
s01f2	여	20대	32	cse036	주변	주거와생활	날씨	O	1	요즘 날씨가 엄청 춥고 눈도 오는 한파이다.	
s01f2	여	20대	33	cse045	주변	여가생활	게임	O	1	방 탈출 게임인 크라임 신을 하고 싶어 하는 이야기를 하고 있다.	
s01f2	여	20대	34	cse006	필수	식음료	밥	X	0	내일 샐러드를 싸가야 하냐고 묻자 엄마가 샐러드 고기에 볶음밥 싸준다고 하고 있다.	
s01f2	여	20대	35	cse027	필수	상거래	옷	X	0	무슨 옷을 살 것인지 정하면 말해 준다고 한다.	
s01f2	여	20대	36	cse017	필수	주거와생활	집	O	1	집에서 오랜만에 창문을 다 열어놓고 환기를 하고 있다.	
s01f2	여	20대	37	cse037	주변	주거와생활	날씨	O	1	작년이나 재작년과 달리 올해는 날씨가 덥다.	
s01f2	여	20대	38	cse057	주변	미용과건강	다이어트	O	1	줄넘기를 하면서 다이어트를 하면 효과는 좋지만 무릎에 무리가 가니 무릎 보호대를 해야 한다.	
s01f2	여	20대	39	cse052	주변	미용과건강	다이어트	X	0	다이어트 식품인 비움과 노니를 먹는 방법에 대해 설명한다.	
s01f2	여	20대	40	cse024	필수	상거래	옷	X	0	옷 사기전에 보여주겠다는데 다음에는 여름 티가 시급해서 여름 티를 사려 한다.	
s01f2	여	20대	41	cse007	필수	식음료	밥	O	1	게딱지 양념에 흰쌀밥을 비벼 먹으면 매우 맛있다.	
s01f2	여	20대	42	cse047	주변	여가생활	게임	X	0	게임을 하다가 말다가 해서 실력이 늘지 않는다고 하고 있다.	
s01f2	여	20대	43	cse038	주변	주거와생활	날씨	O	1	밖에 날씨도 좋고 구름도 이쁘다.	
s01f2	여	20대	44	cse058	주변	미용과건강	다이어트	X	0	다이어트 프로그램에 나오는 사람들이 결국에는 요요가 와서 어릴 때부터 잘 관리하는 게 중요한 것 같다.	
s01f2	여	20대	45	cse039	주변	주거와생활	날씨	X	0	지금 번개와 천둥을 동반한 비가 오고 있다.	
s01f2	여	20대	46	cse018	필수	주거와생활	집	X	0	같이 살면 많이 싸울 것 같다며 옆집에서 살자고 이야기하고 있다.	
s01f2	여	20대	47	cse008	필수	식음료	밥	O	1	점심에 초밥을 먹으러 추리하게 나갈 순 없는데 귀찮다고 하였다.	
s01f2	여	20대	48	cse009	필수	식음료	밥	O	1	김밥에 든 단무지랑 햄버거에 든 피클은 안 먹는다며 취향을 존중해달라고 한다.	
s01f2	여	20대	49	cse048	주변	여가생활	게임	X	0	추천한 게임이 회사에서 이미 유행 중이라고 한다.	
s01f2	여	20대	50	cse019	필수	주거와생활	집	X	0	여름에는 집이 너무 시끄러워서 살면 안 되겠다고 하자 호텔도 잠자리가 불편해서 잘 못 잤다는 이야기를 한다.	
s01f2	여	20대	51	cse040	주변	주거와생활	날씨	O	1	3시에 비 오기 전에 일찍 가자고 하였다.	
s01f2	여	20대	52	cse060	주변	미용과건강	다이어트	O	1	디톡스 부작용으로 먹는 얘기만 하게 되고 굶는 다이어트는 안 좋으니까 몸에 독소랑 함께 하기로 결심했다.	
s01f2	여	20대	53	cse020	필수	주거와생활	집	O	1	후드가 고장이 났는데 교체해 주는 곳밖에 없어서 집주인께 이야기를 해야 할지 철물점에 수리를 알아봐야 하는지 고민하고 있다.	
s01f2	여	20대	54	cse028	필수	상거래	옷	X	0	마음에 드는 셔츠가 없어서 니트를 샀다며 옷에 대해 이야기하고 있다.	
s01f2	여	20대	55	cse010	필수	식음료	밥	X	0	아침에 밥을 먹었기 때문에 지금은 편의점에서 핫바랑 컵라면을 사 먹으려고 한다.	
s01f2	여	20대	56	cse049	주변	여가생활	게임	O	1	생일선물(생선)을 서로 하지 않기로 했지만 궁금한 게임이 있어 사주면 대신 플레이(play)를 해줄 수 있는지 묻고 있다.	
s01f2	여	20대	57	cse030	필수	상거래	옷	O	1	언니가 코르덴 바지를 입기도 했고 최근에 꺼내 입었는데 너무 따뜻해서 좋아졌다.	
s01f2	여	20대	58	cse050	주변	여가생활	게임	X	0	게임을 했는데 한번은 상대방이 안와서 이겼고 첫판은 인원이 모자라서 기권패했다.	
s01f2	여	20대	59	cse029	필수	상거래	옷	X	0	언니 옷을 사러 갔다가 가디건이랑 얇은 엘레쎄 니트를 구매했다.	
s01f2	여	20대	60	cse034	주변	주거와생활	날씨	X	0	태풍이 지나가고 난 뒤 피해 상황에 대해 이야기한다.	
s02m2	남	20대	1	cse001	필수	식음료	밥	O	1	계란이랑 햄을 사서 볶음밥을 하려고 한다.	
s02m2	남	20대	2	cse031	주변	주거와생활	날씨	O	1	태풍 이름들이 이상하다며 누가 짓는 건지 궁금해하고 있다.	
s02m2	남	20대	3	cse011	필수	주거와생활	집	O	1	살고 있는 아파트 담보대출을 받아서 집 문제를 해결하려고 한다.	
s02m2	남	20대	4	cse041	주변	여가생활	게임	O	1	게임 내의 클럽을 보유한 지인에게 가입 의사를 밝혔다.	
s02m2	남	20대	5	cse021	필수	상거래	옷	O	1	옷을 사러 가야해서 평일과 주말 중 가능한 시간에 대해 이야기한다.	
s02m2	남	20대	6	cse051	주변	미용과건강	다이어트	O	1	다이어트(다요트) 식단으로 고구마, 계란, 바나나를 먹고 있으며, 목표 체중은 48이다.	
s02m2	남	20대	7	cse002	필수	식음료	밥	O	1	무생채가 있으니 밥을 비벼 먹을까 한다.	
s02m2	남	20대	8	cse012	필수	주거와생활	집	X	0	집을 알아봤는데 집값이 올랐다는 것이 피부로 느껴졌다.	
s02m2	남	20대	9	cse022	필수	상거래	옷	X	0	배송 온 옷을 입어보고 앞으로 어떻게 입고 다닐지에 대해 이야기한다.	
s02m2	남	20대	10	cse032	주변	주거와생활	날씨	O	1	태풍의 영향 때문에 형광등이 깜박거린다고 한다.	
s02m2	남	20대	11	cse042	주변	여가생활	게임	O	1	오늘 것은 내 취향이 아닌 것 같은데 기본 카드게임에 스토리가 있는 것 같다.	
s02m2	남	20대	12	cse059	주변	미용과건강	다이어트	O	1	다이어트 2일차인데 작심삼일이 아니고 이번에는 진짜이다.	
s02m2	남	20대	13	cse003	필수	식음료	밥	X	0	밥은 그날 먹고 싶은 걸로 시키는데 오늘은 순두부찌개를 시켰다.	
s02m2	남	20대	14	cse033	주변	주거와생활	날씨	X	0	밖에 덥기는 하지만 바람이 많이 분다고 한다.	
s02m2	남	20대	15	cse046	주변	여가생활	게임	X	0	게임 기록을 향상시키기 위한 방법을 알려주고있다.	
s02m2	남	20대	16	cse053	주변	미용과건강	다이어트	X	0	다이어트의 1차 목표는 55킬로그램(55 kg)이다.	
s02m2	남	20대	17	cse013	필수	주거와생활	집	O	1	집 근처에 공원은 많은데 철봉이 없어서 아쉽다.	
s02m2	남	20대	18	cse023	필수	상거래	옷	O	1	오늘도 H&M(흐앤므)에서 예쁘고 귀여운 옷을 샀다고하니 그만 사라고 한다.	
s02m2	남	20대	19	cse025	필수	상거래	옷	O	1	구입할 옷의 색상을 보여 주고 고르고 있다.	
s02m2	남	20대	20	cse014	필수	주거와생활	집	O	1	집에 문 두드린 사람이 집주인인지를 알아보고 있다.	
s02m2	남	20대	21	cse044	주변	여가생활	게임	O	1	배추에 맞았지만 게임상의 일이라서 화를 안 냈다.	
s02m2	남	20대	22	cse004	필수	식음료	밥	O	1	언니가 대구로 출장을 가서 혼자 밥을 먹어야(혼밥) 해야 해서 추천해 주려고 한다.	
s02m2	남	20대	23	cse015	필수	주거와생활	집	O	1	어차피 일 년 살 집이라 집들이는 안 할 거고, 대화 상대자가 오면 앉을 식탁과 의자를 사려 한다.	
s02m2	남	20대	24	cse054	주변	미용과건강	다이어트	O	1	다이어트를 하면 성격이 더러워져서 폭식을 하게 된다.	
s02m2	남	20대	25	cse043	주변	여가생활	게임	O	1	멋진 남자들이랑 탁구공 넣기 게임을 하고 싶다고 했다.	
s02m2	남	20대	26	cse035	주변	주거와생활	날씨	O	1	날씨가 풀렸는지 오늘은 시원한 봄 날씨이다.	
s02m2	남	20대	27	cse055	주변	미용과건강	다이어트	O	1	다이어트를 하는데 오늘 유독 배가 고파서 힘들다.	
s02m2	남	20대	28	cse026	필수	상거래	옷	O	1	주문한 옷이 집 앞에 택배로 와 있어야 하는데 없어서 전화해보려고 한다.	
s02m2	남	20대	29	cse005	필수	식음료	밥	O	1	엄마에게 김밥이 상하는지에 대해서 물어본다.	
s02m2	남	20대	30	cse016	필수	주거와생활	집	O	1	나중에 넓은 집으로 이사가면 가짜 나무로 만든 트리를 만들고 싶다.	
s02m2	남	20대	31	cse056	주변	미용과건강	다이어트	O	1	이제 만나면 저녁은 다이어트 식단으로 먹어야 한다.	
s02m2	남	20대	32	cse036	주변	주거와생활	날씨	O	1	요즘 날씨가 엄청 춥고 눈도 오는 한파이다.	
s02m2	남	20대	33	cse045	주변	여가생활	게임	X	0	방 탈출 게임인 크라임 신을 하고 싶어 하는 이야기를 하고 있다.	
s02m2	남	20대	34	cse006	필수	식음료	밥	X	0	내일 샐러드를 싸가야 하냐고 묻자 엄마가 샐러드 고기에 볶음밥 싸준다고 하고 있다.	
s02m2	남	20대	35	cse027	필수	상거래	옷	X	0	무슨 옷을 살 것인지 정하면 말해 준다고 한다.	
s02m2	남	20대	36	cse017	필수	주거와생활	집	O	1	집에서 오랜만에 창문을 다 열어놓고 환기를 하고 있다.	
s02m2	남	20대	37	cse037	주변	주거와생활	날씨	O	1	작년이나 재작년과 달리 올해는 날씨가 덥다.	
s02m2	남	20대	38	cse057	주변	미용과건강	다이어트	O	1	줄넘기를 하면서 다이어트를 하면 효과는 좋지만 무릎에 무리가 가니 무릎 보호대를 해야 한다.	
s02m2	남	20대	39	cse052	주변	미용과건강	다이어트	O	1	다이어트 식품인 비움과 노니를 먹는 방법에 대해 설명한다.	
s02m2	남	20대	40	cse024	필수	상거래	옷	O	1	옷 사기전에 보여주겠다는데 다음에는 여름 티가 시급해서 여름 티를 사려 한다.	
s02m2	남	20대	41	cse007	필수	식음료	밥	O	1	게딱지 양념에 흰쌀밥을 비벼 먹으면 매우 맛있다.	
s02m2	남	20대	42	cse047	주변	여가생활	게임	O	1	게임을 하다가 말다가 해서 실력이 늘지 않는다고 하고 있다.	
s02m2	남	20대	43	cse038	주변	주거와생활	날씨	X	0	밖에 날씨도 좋고 구름도 이쁘다.	
s02m2	남	20대	44	cse058	주변	미용과건강	다이어트	O	1	다이어트 프로그램에 나오는 사람들이 결국에는 요요가 와서 어릴 때부터 잘 관리하는 게 중요한 것 같다.	
s02m2	남	20대	45	cse039	주변	주거와생활	날씨	O	1	지금 번개와 천둥을 동반한 비가 오고 있다.	
s02m2	남	20대	46	cse018	필수	주거와생활	집	O	1	같이 살면 많이 싸울 것 같다며 옆집에서 살자고 이야기하고 있다.	
s02m2	남	20대	47	cse008	필수	식음료	밥	O	1	점심에 초밥을 먹으러 추리하게 나갈 순 없는데 귀찮다고 하였다.	
s02m2	남	20대	48	cse009	필수	식음료	밥	O	1	김밥에 든 단무지랑 햄버거에 든 피클은 안 먹는다며 취향을 존중해달라고 한다.	
s02m2	남	20대	49	cse048	주변	여가생활	게임	O	1	추천한 게임이 회사에서 이미 유행 중이라고 한다.	
s02m2	남	20대	50	cse019	필수	주거와생활	집	O	1	여름에는 집이 너무 시끄러워서 살면 안 되겠다고 하자 호텔도 잠자리가 불편해서 잘 못 잤다는 이야기를 한다.	
s02m2	남	20대	51	cse040	주변	주거와생활	날씨	O	1	3시에 비 오기 전에 일찍 가자고 하였다.	
s02m2	남	20대	52	cse060	주변	미용과건강	다이어트	O	1	디톡스 부작용으로 먹는 얘기만 하게 되고 굶는 다이어트는 안 좋으니까 몸에 독소랑 함께 하기로 결심했다.	
s02m2	남	20대	53	cse020	필수	주거와생활	집	O	1	후드가 고장이 났는데 교체해 주는 곳밖에 없어서 집주인께 이야기를 해야 할지 철물점에 수리를 알아봐야 하는지 고민하고 있다.	
s02m2	남	20대	54	cse028	필수	상거래	옷	O	1	마음에 드는 셔츠가 없어서 니트를 샀다며 옷에 대해 이야기하고 있다.	
s02m2	남	20대	55	cse010	필수	식음료	밥	X	0	아침에 밥을 먹었기 때문에 지금은 편의점에서 핫바랑 컵라면을 사 먹으려고 한다.	
s02m2	남	20대	56	cse049	주변	여가생활	게임	O	1	생일선물(생선)을 서로 하지 않기로 했지만 궁금한 게임이 있어 사주면 대신 플레이(play)를 해줄 수 있는지 묻고 있다.	
s02m2	남	20대	57	cse030	필수	상거래	옷	O	1	언니가 코르덴 바지를 입기도 했고 최근에 꺼내 입었는데 너무 따뜻해서 좋아졌다.	
s02m2	남	20대	58	cse050	주변	여가생활	게임	O	1	게임을 했는데 한번은 상대방이 안와서 이겼고 첫판은 인원이 모자라서 기권패했다.	
s02m2	남	20대	59	cse029	필수	상거래	옷	O	1	언니 옷을 사러 갔다가 가디건이랑 얇은 엘레쎄 니트를 구매했다.	
s02m2	남	20대	60	cse034	주변	주거와생활	날씨	O	1	태풍이 지나가고 난 뒤 피해 상황에 대해 이야기한다.	
s03m2	남	20대	1	cse001	필수	식음료	밥	O	1	계란이랑 햄을 사서 볶음밥을 하려고 한다.	'AI'를 무엇으로 정의하는지는 모르겠으나, 음식 주제에서 볶음밥에 계란과 햄이 가까운 것은 상식이다.
s03m2	남	20대	2	cse031	주변	주거와생활	날씨	O	1	태풍 이름들이 이상하다며 누가 짓는 건지 궁금해하고 있다.	
s03m2	남	20대	3	cse011	필수	주거와생활	집	O	1	살고 있는 아파트 담보대출을 받아서 집 문제를 해결하려고 한다.	
s03m2	남	20대	4	cse041	주변	여가생활	게임	X	0	게임 내의 클럽을 보유한 지인에게 가입 의사를 밝혔다.	게임은 특정 목적이 아닌 한 산업체가 염두할 만큼 일반적인 상식이 아니다
s03m2	남	20대	5	cse021	필수	상거래	옷	O	1	옷을 사러 가야해서 평일과 주말 중 가능한 시간에 대해 이야기한다.	
s03m2	남	20대	6	cse051	주변	미용과건강	다이어트	O	1	다이어트(다요트) 식단으로 고구마, 계란, 바나나를 먹고 있으며, 목표 체중은 48이다.	
s03m2	남	20대	7	cse002	필수	식음료	밥	O	1	무생채가 있으니 밥을 비벼 먹을까 한다.	
s03m2	남	20대	8	cse012	필수	주거와생활	집	O	1	집을 알아봤는데 집값이 올랐다는 것이 피부로 느껴졌다.	관용어구는 학습으로만 해결 가능하다
s03m2	남	20대	9	cse022	필수	상거래	옷	O	1	배송 온 옷을 입어보고 앞으로 어떻게 입고 다닐지에 대해 이야기한다.	
s03m2	남	20대	10	cse032	주변	주거와생활	날씨	X	0	태풍의 영향 때문에 형광등이 깜박거린다고 한다.	인용하는 듯한 문장이 인간에게 무슨 의미인 건지 현재의 AI가 알 것 같지 않다
s03m2	남	20대	11	cse042	주변	여가생활	게임	X	0	오늘 것은 내 취향이 아닌 것 같은데 기본 카드게임에 스토리가 있는 것 같다.	지나치게 맥락의존적이다
s03m2	남	20대	12	cse059	주변	미용과건강	다이어트	O	1	다이어트 2일차인데 작심삼일이 아니고 이번에는 진짜이다.	이 정도 생략은 학습으로 익혀 놔야 써먹을 수 있다
s03m2	남	20대	13	cse003	필수	식음료	밥	O	1	밥은 그날 먹고 싶은 걸로 시키는데 오늘은 순두부찌개를 시켰다.	
s03m2	남	20대	14	cse033	주변	주거와생활	날씨	O	1	밖에 덥기는 하지만 바람이 많이 분다고 한다.	
s03m2	남	20대	15	cse046	주변	여가생활	게임	O	1	게임 기록을 향상시키기 위한 방법을 알려주고있다.	
s03m2	남	20대	16	cse053	주변	미용과건강	다이어트	O	1	다이어트의 1차 목표는 55킬로그램(55 kg)이다.	
s03m2	남	20대	17	cse013	필수	주거와생활	집	O	1	집 근처에 공원은 많은데 철봉이 없어서 아쉽다.	
s03m2	남	20대	18	cse023	필수	상거래	옷	O	1	오늘도 H&M(흐앤므)에서 예쁘고 귀여운 옷을 샀다고하니 그만 사라고 한다.	
s03m2	남	20대	19	cse025	필수	상거래	옷	O	1	구입할 옷의 색상을 보여 주고 고르고 있다.	
s03m2	남	20대	20	cse014	필수	주거와생활	집	O	1	집에 문 두드린 사람이 집주인인지를 알아보고 있다.	
s03m2	남	20대	21	cse044	주변	여가생활	게임	X	0	배추에 맞았지만 게임상의 일이라서 화를 안 냈다.	
s03m2	남	20대	22	cse004	필수	식음료	밥	O	1	언니가 대구로 출장을 가서 혼자 밥을 먹어야(혼밥) 해야 해서 추천해 주려고 한다.	
s03m2	남	20대	23	cse015	필수	주거와생활	집	X	0	어차피 일 년 살 집이라 집들이는 안 할 거고, 대화 상대자가 오면 앉을 식탁과 의자를 사려 한다.	
s03m2	남	20대	24	cse054	주변	미용과건강	다이어트	O	1	다이어트를 하면 성격이 더러워져서 폭식을 하게 된다.	
s03m2	남	20대	25	cse043	주변	여가생활	게임	O	1	멋진 남자들이랑 탁구공 넣기 게임을 하고 싶다고 했다.	
s03m2	남	20대	26	cse035	주변	주거와생활	날씨	O	1	날씨가 풀렸는지 오늘은 시원한 봄 날씨이다.	
s03m2	남	20대	27	cse055	주변	미용과건강	다이어트	O	1	다이어트를 하는데 오늘 유독 배가 고파서 힘들다.	
s03m2	남	20대	28	cse026	필수	상거래	옷	O	1	주문한 옷이 집 앞에 택배로 와 있어야 하는데 없어서 전화해보려고 한다.	
s03m2	남	20대	29	cse005	필수	식음료	밥	X	0	엄마에게 김밥이 상하는지에 대해서 물어본다.	
s03m2	남	20대	30	cse016	필수	주거와생활	집	O	1	나중에 넓은 집으로 이사가면 가짜 나무로 만든 트리를 만들고 싶다.	
s03m2	남	20대	31	cse056	주변	미용과건강	다이어트	O	1	이제 만나면 저녁은 다이어트 식단으로 먹어야 한다.	
s03m2	남	20대	32	cse036	주변	주거와생활	날씨	O	1	요즘 날씨가 엄청 춥고 눈도 오는 한파이다.	
s03m2	남	20대	33	cse045	주변	여가생활	게임	O	1	방 탈출 게임인 크라임 신을 하고 싶어 하는 이야기를 하고 있다.	
s03m2	남	20대	34	cse006	필수	식음료	밥	O	1	내일 샐러드를 싸가야 하냐고 묻자 엄마가 샐러드 고기에 볶음밥 싸준다고 하고 있다.	
s03m2	남	20대	35	cse027	필수	상거래	옷	O	1	무슨 옷을 살 것인지 정하면 말해 준다고 한다.	
s03m2	남	20대	36	cse017	필수	주거와생활	집	O	1	집에서 오랜만에 창문을 다 열어놓고 환기를 하고 있다.	
s03m2	남	20대	37	cse037	주변	주거와생활	날씨	O	1	작년이나 재작년과 달리 올해는 날씨가 덥다.	
s03m2	남	20대	38	cse057	주변	미용과건강	다이어트	O	1	줄넘기를 하면서 다이어트를 하면 효과는 좋지만 무릎에 무리가 가니 무릎 보호대를 해야 한다.	
s03m2	남	20대	39	cse052	주변	미용과건강	다이어트	O	1	다이어트 식품인 비움과 노니를 먹는 방법에 대해 설명한다.	
s03m2	남	20대	40	cse024	필수	상거래	옷	O	1	옷 사기전에 보여주겠다는데 다음에는 여름 티가 시급해서 여름 티를 사려 한다.	
s03m2	남	20대	41	cse007	필수	식음료	밥	O	1	게딱지 양념에 흰쌀밥을 비벼 먹으면 매우 맛있다.	
s03m2	남	20대	42	cse047	주변	여가생활	게임	O	1	게임을 하다가 말다가 해서 실력이 늘지 않는다고 하고 있다.	
s03m2	남	20대	43	cse038	주변	주거와생활	날씨	O	1	밖에 날씨도 좋고 구름도 이쁘다.	
s03m2	남	20대	44	cse058	주변	미용과건강	다이어트	O	1	다이어트 프로그램에 나오는 사람들이 결국에는 요요가 와서 어릴 때부터 잘 관리하는 게 중요한 것 같다.	
s03m2	남	20대	45	cse039	주변	주거와생활	날씨	O	1	지금 번개와 천둥을 동반한 비가 오고 있다.	
s03m2	남	20대	46	cse018	필수	주거와생활	집	X	0	같이 살면 많이 싸울 것 같다며 옆집에서 살자고 이야기하고 있다.	
s03m2	남	20대	47	cse008	필수	식음료	밥	O	1	점심에 초밥을 먹으러 추리하게 나갈 순 없는데 귀찮다고 하였다.	
s03m2	남	20대	48	cse009	필수	식음료	밥	O	1	김밥에 든 단무지랑 햄버거에 든 피클은 안 먹는다며 취향을 존중해달라고 한다.	
s03m2	남	20대	49	cse048	주변	여가생활	게임	O	1	추천한 게임이 회사에서 이미 유행 중이라고 한다.	
s03m2	남	20대	50	cse019	필수	주거와생활	집	O	1	여름에는 집이 너무 시끄러워서 살면 안 되겠다고 하자 호텔도 잠자리가 불편해서 잘 못 잤다는 이야기를 한다.	
s03m2	남	20대	51	cse040	주변	주거와생활	날씨	O	1	3시에 비 오기 전에 일찍 가자고 하였다.	
s03m2	남	20대	52	cse060	주변	미용과건강	다이어트	X	0	디톡스 부작용으로 먹는 얘기만 하게 되고 굶는 다이어트는 안 좋으니까 몸에 독소랑 함께 하기로 결심했다.	
s03m2	남	20대	53	cse020	필수	주거와생활	집	O	1	후드가 고장이 났는데 교체해 주는 곳밖에 없어서 집주인께 이야기를 해야 할지 철물점에 수리를 알아봐야 하는지 고민하고 있다.	
s03m2	남	20대	54	cse028	필수	상거래	옷	O	1	마음에 드는 셔츠가 없어서 니트를 샀다며 옷에 대해 이야기하고 있다.	
s03m2	남	20대	55	cse010	필수	식음료	밥	O	1	아침에 밥을 먹었기 때문에 지금은 편의점에서 핫바랑 컵라면을 사 먹으려고 한다.	
s03m2	남	20대	56	cse049	주변	여가생활	게임	O	1	생일선물(생선)을 서로 하지 않기로 했지만 궁금한 게임이 있어 사주면 대신 플레이(play)를 해줄 수 있는지 묻고 있다.	
s03m2	남	20대	57	cse030	필수	상거래	옷	O	1	언니가 코르덴 바지를 입기도 했고 최근에 꺼내 입었는데 너무 따뜻해서 좋아졌다.	
s03m2	남	20대	58	cse050	주변	여가생활	게임	O	1	게임을 했는데 한번은 상대방이 안와서 이겼고 첫판은 인원이 모자라서 기권패했다.	
s03m2	남	20대	59	cse029	필수	상거래	옷	O	1	언니 옷을 사러 갔다가 가디건이랑 얇은 엘레쎄 니트를 구매했다.	
s03m2	남	20대	60	cse034	주변	주거와생활	날씨	O	1	태풍이 지나가고 난 뒤 피해 상황에 대해 이야기한다.	
s04m2	남	20대	1	cse001	필수	식음료	밥	O	1	계란이랑 햄을 사서 볶음밥을 하려고 한다.	계란, 햄을 산다는 행위와 볶음밥을 만드는 행위가 중간 설명이 없더라도 인간 세상에서는 자연스럽게 상식적으로 연결되기 때문
s04m2	남	20대	2	cse031	주변	주거와생활	날씨	O	1	태풍 이름들이 이상하다며 누가 짓는 건지 궁금해하고 있다.	한국 사회에서는 누구나 충분히 생각해 봤을 만한 의문이기 때문
s04m2	남	20대	3	cse011	필수	주거와생활	집	O	1	살고 있는 아파트 담보대출을 받아서 집 문제를 해결하려고 한다.	경제 활동을 시작하지 않은 이들에게는 다소 이해가 어려울 수 있겠으나 이십 대 중반 이후로는 상식선에 준하는 문장이기 때문
s04m2	남	20대	4	cse041	주변	여가생활	게임	X	0	게임 내의 클럽을 보유한 지인에게 가입 의사를 밝혔다.	게임 문화를 접하지 못했거나 알지 못하는 이들도 많을 것이라 판단되기 때문
s04m2	남	20대	5	cse021	필수	상거래	옷	O	1	옷을 사러 가야해서 평일과 주말 중 가능한 시간에 대해 이야기한다.	경험적으로 인간 세상에서 흔히 볼 수 있는 상황과 문장이기 때문
